,review_id,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion
0,9b96fe32-d8bc-448f-bf37-eaa79506a6b6,Tugsan Topcuoglu,Waste of time,1,0,2024-03-05 22:28:33,,,2.2.8_r824
1,d5cb1046-ee6d-4fc5-ac03-c873e6ded9df,Roxanne LaRusso,"I am extremely impressed with Mobicip's Customer Service. They are very quick to respond. Very polite. Very professional. Very thorough. They stand behind their product for certain! How refreshing, these days, when it seems like no one takes pride in customer service and employers don't really care who they hire. Not Mobicip. They definitely stand apart from all others.",5,0,2024-02-26 14:15:52,,,
2,fe265e2e-117d-42b2-b8ca-63fc24e551b3,Williamcadder Mutevedzi,Friendly,5,0,2024-02-24 16:43:47,,,
3,f44146dc-a7a3-445e-8183-6b153f482555,Justyna D,Does not work,1,0,2024-02-21 19:36:51,,,2.2.7_r812
4,69bc7a7b-1cca-409f-96b1-8b19288ab427,Liam Whitwam,Invades privacy,1,0,2024-02-13 03:48:45,,,2.2.4_r791
5,e3b10183-438a-4836-9219-b1f3bb1f7d12,Auwal Ahmed,Its really working,5,0,2024-01-19 21:11:38,,,2.2.3_r784
6,7c170de3-d46e-4514-a947-4f466ebaa333,Marios Lemoniatis,Excellent app. Great support,5,0,2024-01-15 09:36:42,,,2.2.3_r784
7,1588fc82-c959-45f4-8dd1-35e3ed70374a,coby jay,Mobicip didn't even block the apps I selected to be blocked (Settings app and Accessibility app).,1,0,2024-01-11 22:28:43,,,
8,44ddfdeb-11d3-41d1-aa98-9ead1e5d6466,Bennit Derby,My son got through it some how,1,0,2023-12-28 22:05:38,,,2.1.30_r668
9,b203826a-bc78-4697-8e87-76c888ccb53c,Marcus Johnson,"Had this for my 4 kids, worked well and helped me help keep themselves safe from the junk that's out there. Recommend this for sure!",5,1,2023-12-18 17:17:11,,,2.1.30_r668
10,4d93759e-2dac-4fe0-be62-c10c027fefcc,bobbie jean baker,"It is horrible!!! I would not recommend this to anybody,! They control all of the functions in your devices when you install the app and make an account a third party is in control of all the devices that you are using that app on so if you have three kids and you're trying to control the things that they see and you get this app thinking it'll help you. It doesn't! it even blocks the parent out half the time you can't use any of the devices that have the app Installed.",1,4,2023-11-29 22:36:08,,,2.1.30_r668
11,0ff7790c-4d4f-4cd0-bfea-faa90867316f,Arlin Hurst,Best content filtering option. This filter allows me to use all the features of my phone and works as a VPN which is a good thing these days! Tech support was quick and efficient for the minor issue I had.,5,5,2023-11-08 12:29:49,,,2.1.30_r668
12,37034fdb-ecf4-48cb-a0c5-35c9c03d2f49,Jeff P,Mobicip is the best parental control app I have used. I tried multiple parental control apps including all the big names before trying Mobicip. Mobicip was by far the best. It was the easiest to install. It provides a very easy dashboard that has lots of good information and usage to it. And their support is amazing. I submit a question and a real person provides real helpful responses in less than 24 hours. What more could you ask for.,5,3,2023-11-03 18:37:03,,,2.1.30_r668
13,9eee0f28-0ef4-4a4f-a1e3-f9c66d6cc11b,roses cokkie,Terrible,1,0,2023-09-20 21:25:17,,,2.1.30_r668
14,b6acb2a9-1682-4d9e-85dd-3cd57f198fb2,Lenso TSG,How do I remove restriction from particular child?,1,0,2023-09-01 01:53:49,,,2.1.30_r668
