reviewId,userName,content,score,app
9b96fe32-d8bc-448f-bf37-eaa79506a6b6,Tugsan Topcuoglu,Waste of time,1,Mobicip
d5cb1046-ee6d-4fc5-ac03-c873e6ded9df,Roxanne LaRusso,"I am extremely impressed with Mobicip's Customer Service. They are very quick to respond. Very polite. Very professional. Very thorough. They stand behind their product for certain! How refreshing, these days, when it seems like no one takes pride in customer service and employers don't really care who they hire. Not Mobicip. They definitely stand apart from all others.",5,Mobicip
fe265e2e-117d-42b2-b8ca-63fc24e551b3,Williamcadder Mutevedzi,Friendly,5,Mobicip
f44146dc-a7a3-445e-8183-6b153f482555,Justyna D,Does not work,1,Mobicip
69bc7a7b-1cca-409f-96b1-8b19288ab427,Liam Whitwam,Invades privacy,1,Mobicip
e3b10183-438a-4836-9219-b1f3bb1f7d12,Auwal Ahmed,Its really working,5,Mobicip
7c170de3-d46e-4514-a947-4f466ebaa333,Marios Lemoniatis,Excellent app. Great support,5,Mobicip
1588fc82-c959-45f4-8dd1-35e3ed70374a,coby jay,Mobicip didn't even block the apps I selected to be blocked (Settings app and Accessibility app).,1,Mobicip
44ddfdeb-11d3-41d1-aa98-9ead1e5d6466,Bennit Derby,My son got through it some how,1,Mobicip
b203826a-bc78-4697-8e87-76c888ccb53c,Marcus Johnson,"Had this for my 4 kids, worked well and helped me help keep themselves safe from the junk that's out there. Recommend this for sure!",5,Mobicip
4d93759e-2dac-4fe0-be62-c10c027fefcc,bobbie jean baker,"It is horrible!!! I would not recommend this to anybody,! They control all of the functions in your devices when you install the app and make an account a third party is in control of all the devices that you are using that app on so if you have three kids and you're trying to control the things that they see and you get this app thinking it'll help you. It doesn't! it even blocks the parent out half the time you can't use any of the devices that have the app Installed.",1,Mobicip
0ff7790c-4d4f-4cd0-bfea-faa90867316f,Arlin Hurst,Best content filtering option. This filter allows me to use all the features of my phone and works as a VPN which is a good thing these days! Tech support was quick and efficient for the minor issue I had.,5,Mobicip
37034fdb-ecf4-48cb-a0c5-35c9c03d2f49,Jeff P,Mobicip is the best parental control app I have used. I tried multiple parental control apps including all the big names before trying Mobicip. Mobicip was by far the best. It was the easiest to install. It provides a very easy dashboard that has lots of good information and usage to it. And their support is amazing. I submit a question and a real person provides real helpful responses in less than 24 hours. What more could you ask for.,5,Mobicip
9eee0f28-0ef4-4a4f-a1e3-f9c66d6cc11b,roses cokkie,Terrible,1,Mobicip
b6acb2a9-1682-4d9e-85dd-3cd57f198fb2,Lenso TSG,How do I remove restriction from particular child?,1,Mobicip
57f081cc-5de4-41fd-ab72-fc5b10f725bf,Michael Chukwuemeka Thompson,"Kids, just go into your device's ""safe mode"" where mobicip cannot operate. Go into settings and go into app permissions and turn off ALL permissions for mobicip and the screentime limit will no longer work.",1,Mobicip
18d60704-aee0-4c3d-a5df-09d86829aac0,Cameron King,"While I had challenges, the professionalism and understanding shown by your support team have been commendable. I will keep this in mind for future considerations and will not hesitate to recommend Mobicip based on the quality of their customer service.",4,Mobicip
620b3164-bebc-4f86-907d-18248cabffc2,Leila Schaefer,Sucks,1,Mobicip
aa855d69-bd31-43fc-ae44-757efb6ba8f4,Mboloh Randolf Yuh,Sweet,5,Mobicip
5ef091e1-8d39-49ee-9be7-ad86f7f9cf05,Matthew Dean,Not official I don't recommend it because when you click child it has you add somebody else as a child so it doesn't let you do what you need to do so I don't recommend it please uninstall this if you have it it's horrible and do not buy anything from this developer,1,Mobicip
08e6c1ff-cf18-491d-879a-3d426de8756e,Matteo Albanese,Horrible,1,Mobicip
c493aae8-2661-40e8-b4de-73c46678e1dc,Jason T (JT),This app did not work well they are asking a tremendous amount of money annually for an app that doesn't even work properly It caused arguments with kids & parents. Save yourself the hassle just go to a different app.,1,Mobicip
85e0755b-38a0-464c-94cd-8e52c13fa8b0,Marilyn Bouman,Did not work,1,Mobicip
0c9d5fee-3a4c-4f16-a197-2ea476ba9177,Archana Saxena,New to this app,5,Mobicip
f7ae1a63-c95b-4a57-b734-bec6affb89bc,Nate Binzen,"Works good until it takes over my kids' iPad and won't let it out of the Mobicip app to access anything else, or restart, until, literally, the battery runs out. Try explaining that to your kid.",2,Mobicip
b4420dc1-c194-41ba-bf2e-c488e0018149,FringotOfficial,Horrible it never works,1,Mobicip
da839a02-8775-4ec4-a796-c4ff6bc33885,Chiran Alexa,How to make sure you get the worst room at the retirement home and never see your kids again after they turn 18:,1,Mobicip
08e52aa8-6643-4ff7-a750-4b6fab62ba5b,Kaydence Butler,Disconnects,1,Mobicip
d5847722-5aa0-4cd3-8058-ab10cf2e32bf,Annise Arntsen,"Dear parents, stop micromanaging your kids' lives.",1,Mobicip
285287dd-23e8-442a-b142-e8178c5f9af0,Joylen Diaz,We used this app for parental controls and it stopped our internet and kept glitching.,1,Mobicip
39125ccc-061a-4114-a09d-c5fb5f4e95cc,Chasity Ross,IDK! NVR USED IT!,1,Mobicip
b9d7dc3b-9e94-4a51-bf5e-f754532dfbdc,Bradley Newswanger,Blocks the sites that are specifically allowed.,1,Mobicip
